latitude,longitude,dep,arret metro,nomcom,code postal,lieux à visiter,description
48.8758515434, 2.58362994252,77,51 BIS AVENUE DE LA RESISTANCE,CHELLES,77108,,Offices du tourisme et syndicats d'initiative
48.1768141048, 2.87191970449,77,1 RUE Saint MARTIN,EGREVILLE,77168,,Offices du tourisme et syndicats d'initiative
48.8670987442, 2.13831989818,78,1 RUE DU GENERAL LECLERC,BOUGIVAL,78092,,Offices du tourisme et syndicats d'initiative
48.8969055312, 2.09259272187,78,38 RUE AU PAIN,SAINT-GERMAIN-EN-LAYE,78551,,Offices du tourisme et syndicats d'initiative
48.698127977, 2.50545818962,91,"2, RUE PHILISBOURG",BRUNOY,91114,,Offices du tourisme et syndicats d'initiative
48.7669594016, 2.27741818717,92,26 RUE DR LE SAVOUREUX,CHATENAY MALABRY,92019,,Offices du tourisme et syndicats d'initiative
48.9037951641, 2.33848088966,93,7 IMPASSE SIMON,SAINT-OUEN,93070,,Offices du tourisme et syndicats d'initiative
48.8360287829, 2.52040713375,94,"6 BIS GRANDE RUE CHARLES 
DE GAULLE",BRY SUR MARNE,94015,,Offices du tourisme et syndicats d'initiative
48.7663429277, 2.40739574804,94,6 BIS PLACE DE L EGLISE,CHOISY LE ROI,94022,,Offices du tourisme et syndicats d'initiative
48.8345247857, 2.47289724572,94,"5, AVENUE DE JOINVILLE",NOGENT SUR MARNE,94052,,Offices du tourisme et syndicats d'initiative
48.8449657759, 2.43476382159,94,28 AVENUE DE Paris,VINCENNES,94080,,Offices du tourisme et syndicats d'initiative
48.8735306802, 2.33032654015,75,"boulevard Haussmann, 75009 Paris",Paris,75109,Grands Magasins,"Espace de loisirs, espace récréatif"
48.8675639747, 2.78603920275,77,77777 MARNE-LA-VALLÉE CEDEX 4,MARNE LA VALLÉE,77535,Business solutions - Disneyland® Paris,Centre de congrès et parc d'exposition
